,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score,rank_train_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,n_features,rank_n_features,features
72,0.8076923076923077,0.7692307692307693,0.9615384615384616,0.6923076923076923,0.8076923076923077,0.8076923076923077,0.08770580193070293,588,0.9807692307692307,0.9519230769230769,0.9519230769230769,0.9519230769230769,0.9423076923076923,0.9557692307692307,0.013042942275240894,573,0.011309289932250976,0.002257019746675464,0.0006025314331054687,9.136906717952096e-05,13,251,"[False  True  True False False False  True  True False  True False  True
 False  True  True  True  True  True  True False False  True]"
73,0.8076923076923077,0.8461538461538461,0.9615384615384616,0.8076923076923077,0.8461538461538461,0.8538461538461538,0.0565266863719195,360,0.9903846153846154,0.9615384615384616,0.9615384615384616,0.9807692307692307,0.9423076923076923,0.9673076923076923,0.016764995936694903,263,0.011155176162719726,0.00013639538292165436,0.0005975723266601563,4.471975030580929e-05,10,23,"[ True  True  True  True  True False False  True False False  True  True
 False False False  True False False  True False False False]"
74,0.8076923076923077,0.8461538461538461,0.9615384615384616,0.7692307692307693,0.8846153846153846,0.8538461538461538,0.06617173282340481,360,0.9903846153846154,0.9615384615384616,0.9903846153846154,0.9807692307692307,0.9519230769230769,0.975,0.0156231507781461,7,0.013802623748779297,0.0020576799227165774,0.0006574630737304687,9.848766476855816e-05,16,595,"[ True  True  True  True  True  True False  True False  True  True False
 False  True False  True  True  True  True False  True  True]"
75,0.8076923076923077,0.8076923076923077,0.9615384615384616,0.8076923076923077,0.8461538461538461,0.8461538461538461,0.0595843591724218,417,0.9903846153846154,0.9615384615384616,0.9615384615384616,0.9807692307692307,0.9423076923076923,0.9673076923076923,0.016764995936694903,263,0.013767337799072266,0.002317894349172776,0.0006663322448730469,9.830034736103957e-05,10,23,"[ True  True  True  True  True False False False False False  True  True
 False  True False  True False False  True False False False]"
76,0.8076923076923077,0.8461538461538461,0.9230769230769231,0.7307692307692307,0.9615384615384616,0.8538461538461538,0.08213137116947164,360,0.9807692307692307,0.9615384615384616,0.9711538461538461,0.9807692307692307,0.9519230769230769,0.9692307692307691,0.011213369028548649,241,0.011701488494873047,0.0021908776364581743,0.0006463527679443359,0.0001372026318104841,15,555,"[ True  True False  True False False  True  True False  True  True  True
  True  True  True False  True  True  True False  True False]"
77,0.8846153846153846,0.7692307692307693,0.9230769230769231,0.7307692307692307,0.8846153846153846,0.8384615384615384,0.07457969011409739,472,0.9903846153846154,0.9326923076923077,0.9807692307692307,0.9423076923076923,0.9423076923076923,0.9576923076923076,0.02323662687229726,546,0.01267547607421875,0.001885338962901459,0.0007537364959716797,0.00010475512232582956,11,51,"[False  True False  True  True False  True False False  True  True  True
 False False False  True False  True  True False  True False]"
78,0.6923076923076923,0.8076923076923077,0.9230769230769231,0.8461538461538461,0.8846153846153846,0.8307692307692308,0.07919715493066924,502,0.9903846153846154,0.9615384615384616,0.9615384615384616,0.9711538461538461,0.9711538461538461,0.9711538461538461,0.010533126105868582,136,0.014053869247436523,0.0021217052227663464,0.0006112098693847656,9.62588373352949e-05,12,106,"[ True  True  True  True  True False False  True False False  True  True
 False  True False  True False False  True  True False False]"
79,0.7692307692307693,0.7692307692307693,0.9615384615384616,0.7692307692307693,0.8461538461538461,0.823076923076923,0.07536891516255931,541,0.9711538461538461,0.9326923076923077,0.9519230769230769,0.9519230769230769,0.9423076923076923,0.95,0.012756249193674607,589,0.01091141700744629,0.0002112234897919457,0.0006525993347167968,2.364910409370164e-05,9,14,"[False  True  True  True  True False False  True False False  True  True
 False False False  True False False  True False False False]"
80,0.8076923076923077,0.8461538461538461,0.9615384615384616,0.7307692307692307,0.8461538461538461,0.8384615384615385,0.07457969011409739,462,0.9903846153846154,0.9615384615384616,0.9615384615384616,0.9423076923076923,0.9615384615384616,0.9634615384615385,0.0153846153846154,468,0.010408592224121094,0.0022642844719010353,0.0006561756134033203,0.00013025698778784952,9,14,"[ True  True  True  True  True False False  True False False False  True
 False False False  True False False  True False False False]"
81,0.8846153846153846,0.8076923076923077,0.9615384615384616,0.8461538461538461,0.8846153846153846,0.876923076923077,0.05102499677469846,86,0.9807692307692307,0.9615384615384616,0.9807692307692307,0.9615384615384616,0.9807692307692307,0.973076923076923,0.009421114395319882,32,0.012298870086669921,0.0020921347305318536,0.0006656169891357422,0.00012687358161013302,14,366,"[ True  True  True  True  True False False  True  True False  True  True
 False  True False  True False False  True  True False  True]"
82,0.7692307692307693,0.7692307692307693,0.9615384615384616,0.7692307692307693,0.8461538461538461,0.823076923076923,0.07536891516255931,541,0.9711538461538461,0.9326923076923077,0.9519230769230769,0.9519230769230769,0.9423076923076923,0.95,0.012756249193674607,589,0.01231694221496582,0.0018334332430074726,0.0007596492767333984,0.00011300209674785571,9,14,"[False  True  True  True  True False False  True False False  True  True
 False False False  True False False  True False False False]"
83,0.7692307692307693,0.8461538461538461,0.9230769230769231,0.7307692307692307,0.8846153846153846,0.8307692307692307,0.07133552688842851,513,0.9807692307692307,0.9519230769230769,0.9519230769230769,0.9615384615384616,0.9615384615384616,0.9615384615384615,0.010533126105868582,507,0.013675069808959961,0.00259154701156474,0.000690460205078125,7.610715411300865e-05,13,251,"[ True  True False False False  True False  True  True False  True  True
 False False  True  True False  True  True  True False  True]"
84,0.8076923076923077,0.8461538461538461,0.8846153846153846,0.8076923076923077,0.8461538461538461,0.8384615384615384,0.02878197989826107,472,0.9903846153846154,0.9326923076923077,0.9326923076923077,0.9615384615384616,0.9423076923076923,0.951923076923077,0.02192645048267574,583,0.008450603485107422,0.00011067878362311449,0.0005765438079833984,6.406079622945484e-05,7,4,"[False False False False False False  True  True False  True False False
 False False False False False  True  True  True  True False]"
85,0.8461538461538461,0.7692307692307693,0.9230769230769231,0.7307692307692307,0.8846153846153846,0.8307692307692307,0.07133552688842851,513,0.9903846153846154,0.9326923076923077,0.9807692307692307,0.9423076923076923,0.9423076923076923,0.9576923076923076,0.02323662687229726,546,0.012346220016479493,0.0029314210802374443,0.00075836181640625,7.015981084103637e-05,11,51,"[False  True False  True  True False  True False False  True  True  True
 False False False  True False  True  True False  True False]"
