,0
0,MDVP:Fo(Hz)
1,MDVP:Jitter(Abs)
2,MDVP:RAP
3,MDVP:Shimmer(dB)
4,Shimmer:APQ5
5,Shimmer:DDA
6,HNR
7,spread1
8,D2
