,gen,fitness,fitness_std,fitness_max,fitness_min
0,0,0.8384615384615384,0.019460170216420786,0.8615384615384617,0.8
1,1,0.8553846153846155,0.006705998374677971,0.8615384615384617,0.8384615384615385
2,2,0.8607692307692307,0.008736782070462006,0.8846153846153847,0.8538461538461537
3,3,0.8684615384615387,0.008736782070461925,0.8846153846153847,0.8615384615384617
4,4,0.8761538461538463,0.010575174680667331,0.8846153846153847,0.8538461538461538
5,5,0.880769230769231,0.0062017367294604,0.8846153846153847,0.8692307692307694
6,6,0.8876923076923079,0.0051024996774698276,0.8923076923076924,0.876923076923077
7,7,0.8892307692307695,0.005102499677469828,0.8923076923076924,0.876923076923077
8,8,0.8884615384615386,0.00926276506060949,0.8923076923076924,0.8615384615384615
9,9,0.890769230769231,0.0046153846153845985,0.8923076923076924,0.876923076923077
10,10,0.8915384615384617,0.0023076923076922992,0.8923076923076924,0.8846153846153847
